Aux out [V]	Aux in [V]	PDH out [a.u.]
-9.6788E-1	7.4845E-1	-3.2000E+2
-9.6788E-1	7.4870E-1	-1.4000E+2
-9.6788E-1	7.4724E-1	-1.4900E+2
-9.6788E-1	7.4821E-1	-4.6900E+2
-9.6788E-1	7.4967E-1	-7.0000E+1
-9.6788E-1	7.4845E-1	-6.3800E+2
-9.6788E-1	7.4967E-1	-3.5000E+2
-9.6788E-1	7.4894E-1	-1.0000E+2
-9.6788E-1	7.4797E-1	-1.4500E+2
-9.6788E-1	7.4772E-1	-2.7400E+2
-9.6788E-1	7.4942E-1	-8.9000E+1
-9.6788E-1	7.4797E-1	-4.6300E+2
-9.6788E-1	7.4797E-1	-4.1200E+2
-9.6788E-1	7.4772E-1	-3.7200E+2
-9.6788E-1	7.4797E-1	-1.4700E+2
-9.6788E-1	7.4942E-1	-7.0000E+2
-9.6788E-1	7.4675E-1	-3.6000E+2
-9.6788E-1	7.4772E-1	-8.4200E+2
-9.6788E-1	7.4748E-1	-3.9500E+2
-9.6788E-1	7.4724E-1	-5.0700E+2
-9.6788E-1	7.4772E-1	-9.0900E+2
-9.6788E-1	7.4797E-1	-5.2500E+2
-9.6788E-1	7.5040E-1	-4.9700E+2
-9.6788E-1	7.4991E-1	1.9400E+2
-9.6788E-1	7.4699E-1	-5.7100E+2
-9.6788E-1	7.4845E-1	-3.2600E+2
-9.6788E-1	7.4772E-1	-4.4900E+2
-9.6788E-1	7.4821E-1	4.5900E+2
-9.6788E-1	7.4918E-1	-3.9600E+2
-9.6788E-1	7.4845E-1	-6.4600E+2
-9.6788E-1	7.4772E-1	-2.3600E+2
-9.6788E-1	7.4870E-1	-1.8500E+2
-9.6788E-1	7.4724E-1	-4.5600E+2
-9.6788E-1	7.4699E-1	-1.7800E+2
-9.6788E-1	7.4797E-1	-3.1300E+2
-9.6788E-1	7.4918E-1	-4.8900E+2
-9.6788E-1	7.4991E-1	-1.7500E+2
-9.6788E-1	7.4942E-1	-6.5500E+2
-9.6788E-1	7.4724E-1	3.7100E+2
-9.6788E-1	7.4797E-1	-3.3900E+2
-9.6788E-1	7.4942E-1	-1.8000E+1
-9.6788E-1	7.4651E-1	-1.0040E+3
-9.6788E-1	7.4797E-1	-1.6900E+2
-9.6788E-1	7.5015E-1	3.2800E+2
-9.6788E-1	7.4772E-1	-2.2500E+2
-9.6788E-1	7.4894E-1	1.8000E+1
-9.6788E-1	7.4918E-1	-6.8100E+2
-9.6788E-1	7.4821E-1	-5.1500E+2
-9.6788E-1	7.4894E-1	-4.9600E+2
-9.6788E-1	7.4797E-1	-6.2100E+2
-9.6788E-1	7.4675E-1	-4.6900E+2
-9.6788E-1	7.4724E-1	-6.3300E+2
-9.6788E-1	7.4918E-1	5.3000E+1
-9.6788E-1	7.4675E-1	-3.5900E+2
-9.6788E-1	7.4797E-1	-3.6500E+2
-9.6788E-1	7.4797E-1	4.1300E+2
-9.6788E-1	7.5015E-1	-7.9000E+1
-9.6788E-1	7.4699E-1	-2.8300E+2
-9.6788E-1	7.4797E-1	-8.0300E+2
