Aux out [V]	Aux in [V]	PDH out [a.u.]
3.2704E-1	7.6303E-1	-5.1000E+1
3.2728E-1	7.6230E-1	-6.8000E+1
3.2763E-1	7.6230E-1	-1.0800E+2
3.2787E-1	7.6206E-1	-4.4900E+2
3.2810E-1	7.6206E-1	-9.0400E+2
3.2845E-1	7.6133E-1	-2.2600E+2
3.2869E-1	7.6181E-1	-4.5200E+2
3.2904E-1	7.6327E-1	-5.0000E+2
3.2928E-1	7.6206E-1	2.7000E+1
3.2951E-1	7.6084E-1	-3.3900E+2
3.2987E-1	7.6206E-1	-2.0000E+2
3.3010E-1	7.6254E-1	-7.1900E+2
3.3045E-1	7.6108E-1	4.1000E+1
3.3069E-1	7.6206E-1	-7.6600E+2
3.3093E-1	7.6157E-1	-2.8200E+2
3.3128E-1	7.6206E-1	-4.8000E+1
3.3151E-1	7.5987E-1	-8.1300E+2
3.3187E-1	7.6303E-1	-3.9400E+2
3.3210E-1	7.6279E-1	-2.7500E+2
3.3234E-1	7.6133E-1	-1.0970E+3
3.3269E-1	7.6108E-1	-4.0000E+2
3.3293E-1	7.6157E-1	-1.9900E+2
3.3328E-1	7.6084E-1	-5.2500E+2
3.3351E-1	7.6084E-1	2.0100E+2
3.3375E-1	7.6303E-1	-1.4900E+2
3.3410E-1	7.6206E-1	-6.5800E+2
3.3434E-1	7.5938E-1	-6.9500E+2
3.3469E-1	7.6084E-1	-4.9800E+2
3.3493E-1	7.6036E-1	-4.2400E+2
3.3516E-1	7.5987E-1	-2.7400E+2
3.3551E-1	7.5987E-1	-4.1400E+2
3.3575E-1	7.5938E-1	-6.4700E+2
3.3610E-1	7.6157E-1	-5.5800E+2
3.3634E-1	7.6181E-1	-8.2000E+1
3.3657E-1	7.6011E-1	-4.9700E+2
3.3693E-1	7.5914E-1	-3.7000E+2
3.3716E-1	7.5938E-1	-4.1900E+2
3.3751E-1	7.6084E-1	-9.7300E+2
3.3775E-1	7.5987E-1	-4.0100E+2
3.3798E-1	7.5938E-1	-5.4500E+2
3.3834E-1	7.6036E-1	6.1400E+2
3.3857E-1	7.5987E-1	-1.3000E+2
3.3893E-1	7.6011E-1	-1.1310E+3
3.3916E-1	7.5866E-1	-5.9000E+2
3.3940E-1	7.5963E-1	-4.9200E+2
3.3975E-1	7.5987E-1	-6.5100E+2
3.3998E-1	7.5890E-1	-4.7200E+2
3.4034E-1	7.6108E-1	1.2900E+2
3.4057E-1	7.5890E-1	-5.6800E+2
3.4081E-1	7.6011E-1	-6.3400E+2
3.4116E-1	7.5696E-1	-5.1100E+2
3.4140E-1	7.5963E-1	8.9000E+1
3.4175E-1	7.5963E-1	-2.6400E+2
3.4198E-1	7.5963E-1	-2.3300E+2
3.4222E-1	7.5890E-1	-1.4100E+2
3.4257E-1	7.5817E-1	9.5000E+1
3.4281E-1	7.5696E-1	-4.8000E+2
3.4316E-1	7.5938E-1	-2.2600E+2
3.4340E-1	7.5525E-1	-5.0300E+2
3.4375E-1	7.5841E-1	-2.0000E+2
3.4398E-1	7.5914E-1	-4.9800E+2
3.4422E-1	7.5963E-1	2.8700E+2
3.4457E-1	7.5744E-1	-1.5200E+2
3.4481E-1	7.5720E-1	-4.4100E+2
3.4516E-1	7.5768E-1	-5.4100E+2
3.4540E-1	7.5793E-1	-9.0000E+1
3.4563E-1	7.5696E-1	-2.4800E+2
3.4599E-1	7.5623E-1	-1.6700E+2
3.4622E-1	7.5671E-1	-3.1800E+2
3.4657E-1	7.5525E-1	-1.7000E+1
3.4681E-1	7.5696E-1	-6.4800E+2
3.4704E-1	7.5671E-1	-6.9700E+2
3.4740E-1	7.5696E-1	4.0900E+2
3.4763E-1	7.5647E-1	-3.9000E+2
3.4799E-1	7.5550E-1	-2.7700E+2
3.4822E-1	7.5501E-1	-4.2800E+2
3.4846E-1	7.5623E-1	-1.3000E+2
3.4881E-1	7.5574E-1	-8.0400E+2
3.4904E-1	7.5768E-1	-8.4300E+2
3.4940E-1	7.5574E-1	-4.7400E+2
3.4963E-1	7.5550E-1	-3.4600E+2
3.4987E-1	7.5477E-1	-3.6700E+2
3.5022E-1	7.5598E-1	1.3200E+2
3.5046E-1	7.5428E-1	-9.6600E+2
3.5081E-1	7.5355E-1	-6.2600E+2
3.5104E-1	7.5477E-1	-3.4700E+2
3.5128E-1	7.5453E-1	-2.2500E+2
3.5163E-1	7.5355E-1	-2.0000E+1
3.5187E-1	7.5404E-1	-4.6600E+2
3.5222E-1	7.5258E-1	-1.4700E+2
3.5246E-1	7.5501E-1	-2.7900E+2
3.5269E-1	7.5525E-1	-4.0800E+2
3.5304E-1	7.5210E-1	-4.8700E+2
3.5328E-1	7.5453E-1	-2.6400E+2
3.5363E-1	7.5355E-1	-5.5300E+2
3.5387E-1	7.5283E-1	1.9200E+2
3.5410E-1	7.5161E-1	-4.4100E+2
3.5446E-1	7.5307E-1	-3.8200E+2
3.5469E-1	7.5185E-1	2.5700E+2
3.5504E-1	7.5307E-1	-2.8100E+2
3.5528E-1	7.5137E-1	-5.3500E+2
3.5552E-1	7.5307E-1	-4.8900E+2
3.5587E-1	7.5258E-1	-6.0600E+2
3.5610E-1	7.5112E-1	6.8000E+1
3.5646E-1	7.5258E-1	-1.3900E+2
3.5669E-1	7.5331E-1	-3.0300E+2
3.5693E-1	7.5112E-1	1.3100E+2
3.5728E-1	7.5137E-1	-1.1200E+2
3.5752E-1	7.5137E-1	-2.5500E+2
3.5787E-1	7.5161E-1	-8.8000E+1
3.5810E-1	7.4991E-1	-3.3800E+2
3.5834E-1	7.5015E-1	-5.4000E+2
3.5869E-1	7.4967E-1	-1.4500E+2
3.5893E-1	7.4821E-1	-2.2600E+2
3.5928E-1	7.4991E-1	-9.0700E+2
3.5952E-1	7.4991E-1	-5.5700E+2
3.5975E-1	7.5015E-1	-2.8300E+2
3.6010E-1	7.4870E-1	-1.6100E+2
3.6034E-1	7.4797E-1	-8.3000E+2
3.6069E-1	7.5015E-1	-3.9000E+1
3.6093E-1	7.4991E-1	-6.0300E+2
3.6116E-1	7.4724E-1	-6.3000E+1
3.6152E-1	7.4845E-1	-5.4800E+2
3.6175E-1	7.4699E-1	-5.9500E+2
3.6210E-1	7.4821E-1	-1.1860E+3
3.6234E-1	7.4845E-1	-7.2900E+2
3.6257E-1	7.4870E-1	6.2000E+1
3.6293E-1	7.4724E-1	-2.7700E+2
3.6316E-1	7.4772E-1	5.0000E+0
3.6352E-1	7.4529E-1	-3.5000E+1
3.6375E-1	7.4748E-1	-3.0000E+1
3.6399E-1	7.4481E-1	-7.7000E+1
3.6434E-1	7.4602E-1	-4.0000E+2
3.6457E-1	7.4505E-1	-4.5600E+2
3.6493E-1	7.4554E-1	-2.9100E+2
3.6516E-1	7.4529E-1	2.5000E+1
3.6552E-1	7.4554E-1	-7.5400E+2
