Aux out [V]	Aux in [V]	PDH out [a.u.]
-8.5281E-1	7.5525E-1	-3.4900E+2
-8.5234E-1	7.5550E-1	-5.2000E+1
-8.5175E-1	7.5720E-1	-3.6800E+2
-8.5128E-1	7.5501E-1	-8.6800E+2
-8.5081E-1	7.5453E-1	8.0000E+1
-8.5022E-1	7.5574E-1	-2.1300E+2
-8.4975E-1	7.5525E-1	-8.0000E+1
-8.4916E-1	7.5404E-1	-2.8800E+2
-8.4869E-1	7.5453E-1	-1.9200E+2
-8.4822E-1	7.5550E-1	1.8500E+2
-8.4763E-1	7.5307E-1	2.0000E+1
-8.4705E-1	7.5355E-1	-3.5600E+2
-8.4657E-1	7.5210E-1	-3.1600E+2
-8.4610E-1	7.5234E-1	-1.2700E+2
-8.4552E-1	7.5283E-1	-4.8700E+2
-8.4493E-1	7.4991E-1	-1.4800E+2
-8.4446E-1	7.5161E-1	7.0000E+1
-8.4399E-1	7.5088E-1	-3.3300E+2
-8.4340E-1	7.5064E-1	-3.0000E+0
-8.4293E-1	7.4870E-1	-7.5300E+2
-8.4234E-1	7.4845E-1	4.0000E+1
-8.4187E-1	7.5040E-1	-4.9200E+2
-8.4128E-1	7.4894E-1	-5.2200E+2
-8.4081E-1	7.4870E-1	-3.7700E+2
-8.4034E-1	7.4724E-1	-1.5200E+2
-8.3975E-1	7.4845E-1	1.6500E+2
-8.3928E-1	7.4748E-1	-1.1300E+2
-8.3869E-1	7.4772E-1	-2.2600E+2
-8.3822E-1	7.4724E-1	3.7700E+2
-8.3775E-1	7.4627E-1	-5.3000E+1
-8.3716E-1	7.4384E-1	-1.7300E+2
-8.3657E-1	7.4408E-1	7.3000E+1
-8.3610E-1	7.4408E-1	3.0200E+2
-8.3563E-1	7.4384E-1	3.6700E+2
-8.3504E-1	7.4262E-1	3.0800E+2
-8.3457E-1	7.4311E-1	1.0000E+2
-8.3399E-1	7.4165E-1	5.8000E+1
-8.3352E-1	7.4165E-1	-6.6600E+2
-8.3293E-1	7.4116E-1	-2.5700E+2
-8.3246E-1	7.3995E-1	2.8000E+1
-8.3199E-1	7.3801E-1	-2.1000E+2
-8.3140E-1	7.3825E-1	3.9700E+2
-8.3093E-1	7.3922E-1	2.0700E+2
-8.3034E-1	7.3898E-1	9.2000E+1
-8.2987E-1	7.3703E-1	-1.5600E+2
-8.2940E-1	7.3582E-1	-1.4400E+2
-8.2881E-1	7.3509E-1	-5.2000E+1
-8.2822E-1	7.3558E-1	2.1600E+2
-8.2775E-1	7.3582E-1	4.6700E+2
-8.2728E-1	7.3461E-1	-3.8200E+2
-8.2669E-1	7.3315E-1	1.0300E+2
-8.2610E-1	7.3509E-1	9.7000E+1
-8.2563E-1	7.3315E-1	6.4000E+1
-8.2516E-1	7.3242E-1	-3.6000E+2
