Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.9857E-1	6.9695E-1	-4.2400E+2
-7.9845E-1	6.9671E-1	2.7800E+2
-7.9834E-1	6.9744E-1	4.4800E+2
-7.9810E-1	6.9719E-1	-3.4400E+2
-7.9798E-1	6.9719E-1	-1.3000E+1
-7.9787E-1	6.9719E-1	-2.2100E+2
-7.9775E-1	6.9646E-1	3.4900E+2
-7.9763E-1	6.9574E-1	-6.4000E+1
-7.9751E-1	6.9646E-1	6.7000E+1
-7.9728E-1	6.9695E-1	-2.7000E+1
-7.9716E-1	6.9428E-1	-2.0000E+1
-7.9704E-1	6.9501E-1	1.6800E+2
-7.9692E-1	6.9501E-1	1.3100E+2
-7.9681E-1	6.9525E-1	2.2900E+2
-7.9669E-1	6.9501E-1	3.9000E+1
-7.9645E-1	6.9549E-1	1.2600E+2
-7.9634E-1	6.9428E-1	5.7000E+1
-7.9622E-1	6.9452E-1	2.0100E+2
-7.9610E-1	6.9306E-1	-1.4200E+2
-7.9598E-1	6.9258E-1	-4.1800E+2
-7.9575E-1	6.9331E-1	-2.0000E+0
-7.9563E-1	6.9331E-1	-5.7100E+2
-7.9551E-1	6.9452E-1	-1.7500E+2
-7.9539E-1	6.9282E-1	-1.6700E+2
-7.9528E-1	6.9209E-1	2.4400E+2
-7.9516E-1	6.9355E-1	1.2300E+2
-7.9492E-1	6.9112E-1	-6.0600E+2
-7.9481E-1	6.9306E-1	1.4600E+2
-7.9469E-1	6.9282E-1	-2.3200E+2
-7.9457E-1	6.9088E-1	-3.5400E+2
-7.9445E-1	6.9136E-1	-7.8000E+1
-7.9434E-1	6.9185E-1	2.1300E+2
-7.9422E-1	6.9185E-1	-4.7800E+2
-7.9398E-1	6.9136E-1	-3.3200E+2
-7.9386E-1	6.9112E-1	-5.9600E+2
-7.9375E-1	6.8893E-1	1.8000E+2
-7.9363E-1	6.9136E-1	-1.5900E+2
-7.9351E-1	6.8942E-1	-1.3100E+2
-7.9339E-1	6.9112E-1	1.8400E+2
-7.9316E-1	6.8821E-1	-2.8300E+2
-7.9304E-1	6.8845E-1	2.2600E+2
-7.9292E-1	6.8821E-1	-3.9300E+2
-7.9281E-1	6.8893E-1	-5.0400E+2
-7.9269E-1	6.8893E-1	-5.3800E+2
-7.9257E-1	6.8650E-1	1.7900E+2
-7.9234E-1	6.8845E-1	-1.9400E+2
-7.9222E-1	6.8748E-1	2.2000E+1
-7.9210E-1	6.8772E-1	-9.1000E+1
-7.9198E-1	6.8699E-1	-1.9000E+1
-7.9186E-1	6.8602E-1	1.3100E+2
-7.9175E-1	6.8675E-1	1.1700E+2
-7.9151E-1	6.8796E-1	4.5100E+2
-7.9139E-1	6.8602E-1	-2.7800E+2
-7.9128E-1	6.8675E-1	-7.3000E+1
-7.9116E-1	6.8626E-1	-1.7000E+2
-7.9104E-1	6.8675E-1	-2.5300E+2
-7.9092E-1	6.8699E-1	-7.7700E+2
-7.9069E-1	6.8480E-1	-4.0100E+2
-7.9057E-1	6.8432E-1	1.2900E+2
-7.9045E-1	6.8310E-1	-3.3000E+1
-7.9034E-1	6.8602E-1	-3.4200E+2
-7.9022E-1	6.8456E-1	-2.5000E+2
-7.8998E-1	6.8626E-1	-6.2200E+2
-7.8986E-1	6.8359E-1	1.5700E+2
-7.8975E-1	6.8383E-1	-3.0700E+2
-7.8963E-1	6.8456E-1	-4.9700E+2
-7.8951E-1	6.8480E-1	-6.3600E+2
-7.8939E-1	6.8237E-1	-7.2000E+1
-7.8916E-1	6.8189E-1	1.5200E+2
-7.8904E-1	6.8456E-1	4.0900E+2
-7.8892E-1	6.8335E-1	1.4700E+2
-7.8881E-1	6.8165E-1	5.2400E+2
-7.8869E-1	6.8140E-1	-1.4000E+2
-7.8857E-1	6.8140E-1	2.6300E+2
-7.8845E-1	6.8213E-1	5.4000E+2
-7.8822E-1	6.8140E-1	9.1000E+1
-7.8810E-1	6.8067E-1	2.7600E+2
-7.8798E-1	6.7946E-1	1.5900E+2
-7.8786E-1	6.8165E-1	-8.3100E+2
-7.8775E-1	6.8140E-1	-3.8100E+2
-7.8763E-1	6.8043E-1	-4.5900E+2
-7.8739E-1	6.8043E-1	1.2800E+2
-7.8728E-1	6.8043E-1	2.8800E+2
-7.8716E-1	6.7922E-1	-4.8300E+2
-7.8704E-1	6.7995E-1	-1.3800E+2
-7.8692E-1	6.7922E-1	-4.0000E+2
-7.8681E-1	6.7776E-1	-3.1000E+1
-7.8657E-1	6.7727E-1	-2.0700E+2
-7.8645E-1	6.7849E-1	5.4900E+2
-7.8634E-1	6.7873E-1	-6.9000E+1
-7.8622E-1	6.7897E-1	1.4900E+2
-7.8610E-1	6.7800E-1	-1.2500E+2
-7.8598E-1	6.7533E-1	-3.5400E+2
-7.8575E-1	6.7849E-1	-6.1000E+1
-7.8563E-1	6.7776E-1	1.4000E+2
-7.8551E-1	6.7654E-1	2.1900E+2
-7.8539E-1	6.7800E-1	9.3000E+1
-7.8528E-1	6.7509E-1	7.2500E+2
-7.8504E-1	6.7582E-1	-2.0000E+2
-7.8492E-1	6.7509E-1	3.2600E+2
-7.8481E-1	6.7460E-1	2.8000E+2
-7.8469E-1	6.7411E-1	-1.9300E+2
-7.8457E-1	6.7460E-1	-3.1600E+2
-7.8445E-1	6.7314E-1	-2.9700E+2
-7.8422E-1	6.7484E-1	3.5500E+2
-7.8410E-1	6.7387E-1	-1.0040E+3
-7.8398E-1	6.7411E-1	-2.0400E+2
-7.8386E-1	6.7387E-1	1.7700E+2
-7.8375E-1	6.7314E-1	2.1400E+2
-7.8363E-1	6.7436E-1	-1.3000E+1
-7.8339E-1	6.7193E-1	1.2400E+2
-7.8328E-1	6.7193E-1	1.6000E+2
-7.8316E-1	6.7387E-1	-2.0000E+2
-7.8304E-1	6.7071E-1	3.9000E+1
-7.8292E-1	6.7120E-1	6.1400E+2
-7.8281E-1	6.7071E-1	-9.0000E+1
-7.8269E-1	6.7169E-1	9.0000E+1
-7.8245E-1	6.7047E-1	-1.4000E+1
-7.8233E-1	6.7096E-1	1.4400E+2
-7.8222E-1	6.7047E-1	3.3200E+2
-7.8210E-1	6.7047E-1	-3.7900E+2
-7.8198E-1	6.6901E-1	-2.3400E+2
-7.8186E-1	6.7023E-1	-3.1700E+2
-7.8163E-1	6.7120E-1	3.0000E+2
-7.8151E-1	6.6877E-1	6.4700E+2
-7.8139E-1	6.6901E-1	4.6900E+2
-7.8128E-1	6.6731E-1	-1.7200E+2
-7.8116E-1	6.6804E-1	2.3700E+2
-7.8104E-1	6.6780E-1	-4.0000E+0
-7.8081E-1	6.6707E-1	-4.6300E+2
-7.8069E-1	6.6828E-1	8.0900E+2
-7.8057E-1	6.6683E-1	-4.9300E+2
-7.8045E-1	6.6780E-1	-1.8400E+2
-7.8033E-1	6.6610E-1	5.8000E+2
-7.8022E-1	6.6561E-1	1.5000E+1
-7.7998E-1	6.6634E-1	3.9100E+2
-7.7986E-1	6.6513E-1	1.7400E+2
-7.7975E-1	6.6561E-1	-3.3500E+2
