Aux out [V]	Aux in [V]	PDH out [a.u.]
-1.2805E-1	7.4870E-1	-2.4800E+2
-1.2782E-1	7.5040E-1	-3.4600E+2
-1.2758E-1	7.5064E-1	3.8000E+1
-1.2734E-1	7.5185E-1	7.5000E+1
-1.2699E-1	7.4942E-1	4.4900E+2
-1.2676E-1	7.5040E-1	-3.3000E+2
-1.2652E-1	7.4942E-1	-5.3700E+2
-1.2629E-1	7.5064E-1	-1.6200E+2
-1.2605E-1	7.4918E-1	-7.1200E+2
-1.2581E-1	7.4942E-1	-2.8200E+2
-1.2546E-1	7.4918E-1	-2.5900E+2
-1.2523E-1	7.4942E-1	2.0000E+0
-1.2499E-1	7.4942E-1	-6.3800E+2
-1.2476E-1	7.4797E-1	-1.3000E+2
-1.2452E-1	7.4942E-1	-2.5800E+2
-1.2429E-1	7.4748E-1	-4.6300E+2
-1.2405E-1	7.4797E-1	-3.7900E+2
-1.2370E-1	7.4748E-1	9.0000E+1
-1.2346E-1	7.4724E-1	-2.5700E+2
-1.2323E-1	7.4699E-1	2.1600E+2
-1.2299E-1	7.4554E-1	-3.3300E+2
-1.2276E-1	7.4675E-1	-2.9000E+2
-1.2252E-1	7.4651E-1	2.5000E+2
-1.2229E-1	7.4505E-1	-4.3000E+2
-1.2205E-1	7.4724E-1	-5.8400E+2
-1.2170E-1	7.4578E-1	-3.0400E+2
-1.2146E-1	7.4627E-1	-1.1100E+2
-1.2123E-1	7.4505E-1	-4.5400E+2
-1.2099E-1	7.4602E-1	1.8000E+2
-1.2076E-1	7.4457E-1	-3.7000E+1
-1.2052E-1	7.4432E-1	1.6600E+2
-1.2017E-1	7.4505E-1	1.8600E+2
-1.1993E-1	7.4432E-1	-1.1900E+2
-1.1970E-1	7.4335E-1	1.7700E+2
-1.1946E-1	7.4505E-1	-3.5200E+2
-1.1923E-1	7.4335E-1	-1.3600E+2
-1.1899E-1	7.4457E-1	-6.1200E+2
-1.1864E-1	7.4359E-1	-3.1900E+2
-1.1840E-1	7.4189E-1	-1.6700E+2
-1.1817E-1	7.4286E-1	-4.5300E+2
-1.1793E-1	7.4214E-1	-3.8100E+2
-1.1770E-1	7.4286E-1	8.2000E+1
-1.1746E-1	7.4116E-1	-6.2000E+1
-1.1723E-1	7.4068E-1	-3.2900E+2
-1.1699E-1	7.4262E-1	-8.6000E+2
-1.1664E-1	7.4165E-1	-5.2800E+2
-1.1640E-1	7.3971E-1	-5.2700E+2
-1.1617E-1	7.4068E-1	-2.9200E+2
-1.1593E-1	7.4044E-1	-3.1600E+2
-1.1570E-1	7.3946E-1	4.3700E+2
-1.1546E-1	7.4019E-1	-6.9300E+2
-1.1511E-1	7.4019E-1	-4.4100E+2
-1.1487E-1	7.3971E-1	-2.9100E+2
-1.1464E-1	7.3922E-1	-2.1000E+1
-1.1440E-1	7.3728E-1	3.4000E+2
-1.1417E-1	7.3728E-1	1.8500E+2
-1.1393E-1	7.3801E-1	1.7600E+2
-1.1358E-1	7.3728E-1	2.8800E+2
-1.1334E-1	7.3558E-1	1.1300E+2
-1.1311E-1	7.3752E-1	4.7700E+2
-1.1287E-1	7.3558E-1	3.1300E+2
-1.1264E-1	7.3655E-1	4.7600E+2
-1.1240E-1	7.3582E-1	-1.0000E+0
-1.1217E-1	7.3655E-1	2.2500E+2
-1.1193E-1	7.3631E-1	3.4100E+2
-1.1158E-1	7.3412E-1	-9.1100E+2
-1.1134E-1	7.3533E-1	-9.2000E+1
-1.1111E-1	7.3412E-1	-4.2000E+2
-1.1087E-1	7.3242E-1	1.7500E+2
-1.1064E-1	7.3412E-1	-7.0800E+2
-1.1040E-1	7.3218E-1	9.5000E+1
-1.1017E-1	7.3290E-1	-1.3700E+2
-1.0981E-1	7.3315E-1	-2.6600E+2
-1.0958E-1	7.3193E-1	3.2900E+2
-1.0934E-1	7.3120E-1	-4.2300E+2
-1.0911E-1	7.3023E-1	1.4100E+2
-1.0887E-1	7.3096E-1	-6.8000E+1
-1.0852E-1	7.2999E-1	1.3500E+2
-1.0828E-1	7.2950E-1	3.6900E+2
-1.0805E-1	7.2950E-1	1.1700E+2
-1.0781E-1	7.2877E-1	-3.2500E+2
-1.0758E-1	7.2829E-1	-9.0000E+0
-1.0734E-1	7.2975E-1	-2.5800E+2
-1.0711E-1	7.2902E-1	4.4500E+2
-1.0687E-1	7.2780E-1	5.2200E+2
-1.0652E-1	7.2780E-1	-4.3900E+2
-1.0628E-1	7.2780E-1	2.5300E+2
-1.0605E-1	7.2780E-1	2.5100E+2
-1.0581E-1	7.2683E-1	3.1500E+2
-1.0558E-1	7.2489E-1	7.9300E+2
-1.0534E-1	7.2610E-1	-2.4400E+2
-1.0511E-1	7.2537E-1	8.0000E+1
-1.0487E-1	7.2440E-1	5.0800E+2
-1.0452E-1	7.2416E-1	2.8900E+2
-1.0428E-1	7.2246E-1	1.2600E+2
-1.0405E-1	7.2270E-1	3.5700E+2
-1.0381E-1	7.2222E-1	-5.1100E+2
-1.0358E-1	7.2124E-1	5.9000E+1
-1.0323E-1	7.2124E-1	-3.3300E+2
-1.0299E-1	7.2124E-1	2.1000E+2
-1.0275E-1	7.2076E-1	-2.0100E+2
-1.0252E-1	7.2100E-1	-1.4300E+2
-1.0228E-1	7.1954E-1	6.8600E+2
-1.0205E-1	7.1930E-1	-2.9300E+2
-1.0181E-1	7.1954E-1	-2.0200E+2
-1.0146E-1	7.1857E-1	3.8700E+2
-1.0122E-1	7.1784E-1	-3.2600E+2
-1.0099E-1	7.1736E-1	4.2800E+2
-1.0075E-1	7.1663E-1	-5.0000E+0
-1.0052E-1	7.1711E-1	2.7200E+2
-1.0028E-1	7.1590E-1	1.4700E+2
-1.0005E-1	7.1590E-1	3.3200E+2
-9.9813E-2	7.1639E-1	-1.6900E+2
