Aux out [V]	Aux in [V]	PDH out [a.u.]
-6.3750E-1	6.9161E-1	-3.1700E+2
-6.3668E-1	6.9306E-1	5.5600E+2
-6.3585E-1	6.9282E-1	-3.9000E+1
-6.3503E-1	6.8942E-1	6.0800E+2
-6.3421E-1	6.8869E-1	2.9600E+2
-6.3326E-1	6.8505E-1	2.1300E+2
-6.3232E-1	6.8505E-1	2.8200E+2
-6.3150E-1	6.8213E-1	8.7700E+2
-6.3068E-1	6.7995E-1	-4.1000E+1
-6.2985E-1	6.7752E-1	-3.7900E+2
-6.2891E-1	6.7606E-1	7.5200E+2
-6.2809E-1	6.7411E-1	1.0600E+2
-6.2726E-1	6.7241E-1	6.2000E+1
-6.2644E-1	6.7071E-1	4.0900E+2
-6.2562E-1	6.6658E-1	6.7000E+1
-6.2468E-1	6.6440E-1	6.2900E+2
-6.2385E-1	6.6051E-1	3.1300E+2
-6.2303E-1	6.5954E-1	2.9600E+2
-6.2221E-1	6.5711E-1	1.2600E+2
-6.2138E-1	6.5322E-1	1.2600E+2
-6.2044E-1	6.5128E-1	1.0690E+3
-6.1962E-1	6.4739E-1	2.3300E+2
-6.1879E-1	6.4351E-1	3.6500E+2
-6.1785E-1	6.4108E-1	2.5000E+1
-6.1703E-1	6.3840E-1	4.1500E+2
-6.1609E-1	6.3355E-1	6.0200E+2
-6.1526E-1	6.3184E-1	3.3900E+2
-6.1444E-1	6.2601E-1	2.4100E+2
-6.1362E-1	6.2553E-1	4.0400E+2
-6.1279E-1	6.2043E-1	3.2000E+2
-6.1197E-1	6.1630E-1	5.1100E+2
-6.1103E-1	6.1435E-1	8.8700E+2
-6.1020E-1	6.1022E-1	1.4300E+3
-6.0938E-1	6.0366E-1	3.2500E+2
-6.0856E-1	6.0099E-1	5.9400E+2
-6.0773E-1	5.9832E-1	9.2900E+2
-6.0679E-1	5.9322E-1	7.0000E+2
-6.0597E-1	5.8885E-1	8.6400E+2
-6.0514E-1	5.8617E-1	-1.3600E+2
-6.0432E-1	5.8131E-1	2.9300E+2
-6.0350E-1	5.7646E-1	6.4400E+2
-6.0256E-1	5.7111E-1	1.2970E+3
-6.0162E-1	5.6698E-1	5.6300E+2
-6.0079E-1	5.6237E-1	9.1200E+2
-5.9997E-1	5.5969E-1	5.7900E+2
-5.9914E-1	5.5338E-1	1.0470E+3
-5.9820E-1	5.4900E-1	8.7400E+2
-5.9738E-1	5.4512E-1	8.6000E+2
-5.9656E-1	5.3904E-1	8.4200E+2
-5.9573E-1	5.3734E-1	2.6300E+2
-5.9491E-1	5.2933E-1	1.4560E+3
-5.9397E-1	5.2495E-1	1.2880E+3
-5.9314E-1	5.2082E-1	6.2800E+2
-5.9232E-1	5.1669E-1	1.1910E+3
-5.9150E-1	5.1232E-1	1.1250E+3
-5.9067E-1	5.0576E-1	1.1810E+3
-5.8985E-1	5.0285E-1	1.4760E+3
-5.8891E-1	4.9629E-1	2.9900E+2
-5.8808E-1	4.9167E-1	1.0420E+3
-5.8726E-1	4.8608E-1	3.9000E+2
-5.8632E-1	4.8317E-1	7.3000E+2
-5.8550E-1	4.7612E-1	9.1400E+2
-5.8456E-1	4.7370E-1	7.2900E+2
-5.8373E-1	4.6689E-1	3.9200E+2
-5.8291E-1	4.6179E-1	1.0620E+3
-5.8208E-1	4.5742E-1	8.6600E+2
-5.8126E-1	4.5402E-1	6.2500E+2
-5.8032E-1	4.4746E-1	1.0280E+3
-5.7950E-1	4.4090E-1	9.9100E+2
-5.7867E-1	4.3847E-1	5.7400E+2
-5.7785E-1	4.3191E-1	1.0820E+3
-5.7703E-1	4.2608E-1	8.2500E+2
-5.7608E-1	4.2195E-1	9.5200E+2
-5.7526E-1	4.1588E-1	1.0140E+3
-5.7444E-1	4.1150E-1	2.9300E+2
-5.7361E-1	4.0689E-1	1.0790E+3
-5.7279E-1	4.0179E-1	3.1600E+2
-5.7185E-1	3.9717E-1	9.5200E+2
-5.7102E-1	3.9304E-1	7.1400E+2
-5.7008E-1	3.8624E-1	1.0330E+3
-5.6926E-1	3.8187E-1	5.0700E+2
-5.6844E-1	3.7774E-1	1.0460E+3
-5.6761E-1	3.7361E-1	8.3300E+2
-5.6667E-1	3.7069E-1	7.8000E+2
-5.6585E-1	3.6608E-1	8.9900E+2
-5.6502E-1	3.5952E-1	1.1470E+3
-5.6420E-1	3.5539E-1	1.0680E+3
-5.6338E-1	3.5271E-1	6.3600E+2
-5.6244E-1	3.4834E-1	3.1400E+2
-5.6161E-1	3.4275E-1	8.8500E+2
-5.6079E-1	3.3984E-1	6.8400E+2
-5.5997E-1	3.3668E-1	9.4000E+2
-5.5914E-1	3.3109E-1	5.3500E+2
-5.5820E-1	3.2696E-1	7.7300E+2
-5.5738E-1	3.2453E-1	3.3400E+2
-5.5655E-1	3.2211E-1	7.7600E+2
-5.5561E-1	3.1822E-1	5.0100E+2
-5.5479E-1	3.1555E-1	9.0300E+2
-5.5385E-1	3.1214E-1	6.9500E+2
-5.5302E-1	3.0899E-1	1.2440E+3
-5.5220E-1	3.0802E-1	4.4200E+2
-5.5138E-1	3.0364E-1	4.0700E+2
-5.5055E-1	3.0218E-1	1.2560E+3
-5.4961E-1	2.9635E-1	2.5400E+2
-5.4879E-1	2.9271E-1	1.3500E+2
-5.4796E-1	2.9174E-1	1.0350E+3
-5.4714E-1	2.8907E-1	-6.0000E+0
-5.4632E-1	2.8809E-1	3.1400E+2
-5.4549E-1	2.8907E-1	-2.4300E+2
-5.4455E-1	2.8907E-1	2.8700E+2
-5.4373E-1	2.8907E-1	2.9700E+2
-5.4291E-1	2.8542E-1	1.3740E+3
-5.4208E-1	2.7789E-1	7.2300E+2
-5.4126E-1	2.7376E-1	1.1120E+3
-5.4032E-1	2.7255E-1	3.1700E+2
-5.3938E-1	2.7085E-1	-2.7100E+2
-5.3855E-1	2.7328E-1	-4.5900E+2
-5.3773E-1	2.7279E-1	-8.1300E+2
-5.3690E-1	2.7449E-1	7.7000E+1
-5.3596E-1	2.7133E-1	8.9600E+2
-5.3514E-1	2.6623E-1	1.3960E+3
-5.3432E-1	2.6404E-1	3.8200E+2
-5.3349E-1	2.6404E-1	8.3000E+1
-5.3267E-1	2.6842E-1	-3.4900E+2
-5.3173E-1	2.8105E-1	-1.8840E+3
-5.3090E-1	2.9903E-1	-9.6600E+2
-5.3008E-1	2.9903E-1	1.1330E+3
-5.2926E-1	2.8081E-1	1.2440E+3
-5.2843E-1	2.6842E-1	1.0800E+3
-5.2749E-1	2.6016E-1	4.6800E+2
-5.2667E-1	2.6113E-1	-7.2900E+2
-5.2584E-1	2.6647E-1	-1.0550E+3
-5.2502E-1	2.8178E-1	-2.4670E+3
-5.2408E-1	3.1360E-1	-3.1700E+3
-5.2326E-1	3.2356E-1	1.2210E+3
-5.2232E-1	3.0048E-1	3.2450E+3
-5.2149E-1	2.6939E-1	1.8400E+3
-5.2067E-1	2.5481E-1	1.1100E+3
-5.1984E-1	2.4582E-1	1.7100E+2
-5.1902E-1	2.4315E-1	2.5200E+2
-5.1808E-1	2.3951E-1	7.7000E+1
-5.1726E-1	2.3684E-1	-5.0000E+0
-5.1643E-1	2.3562E-1	4.1000E+1
-5.1561E-1	2.3708E-1	-7.2500E+2
-5.1479E-1	2.3586E-1	-2.1900E+2
-5.1384E-1	2.3319E-1	2.1000E+1
-5.1302E-1	2.3198E-1	-4.4000E+1
-5.1220E-1	2.3368E-1	-6.1900E+2
-5.1137E-1	2.3611E-1	-8.4800E+2
-5.1055E-1	2.4194E-1	-4.1800E+2
-5.0961E-1	2.4169E-1	1.5200E+2
-5.0878E-1	2.3684E-1	4.1600E+2
-5.0784E-1	2.3659E-1	4.8200E+2
-5.0702E-1	2.3465E-1	-5.6000E+1
-5.0620E-1	2.3684E-1	-2.6700E+2
-5.0526E-1	2.3708E-1	-2.4800E+2
-5.0443E-1	2.3781E-1	-4.0300E+2
-5.0361E-1	2.3829E-1	-4.7000E+2
-5.0278E-1	2.3951E-1	-3.0700E+2
-5.0196E-1	2.3975E-1	2.1000E+1
