Aux out [V]	Aux in [V]	PDH out [a.u.]
4.2681E-1	6.6683E-1	-1.5100E+2
4.2693E-1	6.6634E-1	-7.0000E+1
4.2705E-1	6.6804E-1	-3.4700E+2
4.2705E-1	6.6974E-1	-7.5000E+1
4.2717E-1	6.6683E-1	-2.2300E+2
4.2729E-1	6.6731E-1	-2.5400E+2
4.2729E-1	6.6683E-1	5.6700E+2
4.2740E-1	6.6756E-1	-2.0000E+2
4.2752E-1	6.6634E-1	-5.8500E+2
4.2752E-1	6.6683E-1	6.3000E+1
4.2764E-1	6.6756E-1	1.0500E+2
4.2776E-1	6.6610E-1	-4.4300E+2
4.2787E-1	6.6634E-1	2.5700E+2
4.2787E-1	6.6513E-1	-1.2200E+2
4.2799E-1	6.6610E-1	6.5300E+2
4.2811E-1	6.6415E-1	2.7500E+2
4.2811E-1	6.6634E-1	3.9500E+2
4.2823E-1	6.6561E-1	1.8500E+2
4.2834E-1	6.6634E-1	5.1800E+2
4.2834E-1	6.6610E-1	-9.0000E+0
4.2846E-1	6.6586E-1	2.6800E+2
4.2858E-1	6.6561E-1	-3.9900E+2
4.2870E-1	6.6537E-1	1.2000E+1
4.2870E-1	6.6610E-1	-7.5800E+2
4.2881E-1	6.6610E-1	-3.9900E+2
4.2893E-1	6.6488E-1	-3.2000E+1
4.2893E-1	6.6391E-1	1.1700E+2
4.2905E-1	6.6513E-1	-9.5000E+1
4.2917E-1	6.6391E-1	-3.1900E+2
4.2929E-1	6.6391E-1	-3.0000E+1
4.2929E-1	6.6513E-1	-4.4100E+2
4.2940E-1	6.6537E-1	3.1300E+2
4.2952E-1	6.6440E-1	4.0500E+2
4.2952E-1	6.6391E-1	-4.1300E+2
4.2964E-1	6.6391E-1	1.9300E+2
4.2976E-1	6.6343E-1	-1.3400E+2
4.2976E-1	6.6343E-1	-5.3400E+2
4.2987E-1	6.6343E-1	-5.1400E+2
4.2999E-1	6.6367E-1	-1.0600E+2
4.3011E-1	6.6586E-1	5.8600E+2
4.3011E-1	6.6343E-1	-3.7100E+2
4.3023E-1	6.6343E-1	-2.2300E+2
4.3034E-1	6.6318E-1	-3.8200E+2
4.3034E-1	6.6537E-1	4.5400E+2
4.3046E-1	6.6367E-1	2.1000E+1
4.3058E-1	6.6440E-1	-1.0000E+2
4.3070E-1	6.6173E-1	-3.1700E+2
4.3070E-1	6.6245E-1	1.5000E+1
4.3081E-1	6.6367E-1	-3.4500E+2
4.3093E-1	6.6173E-1	3.0300E+2
4.3093E-1	6.6367E-1	3.6400E+2
4.3105E-1	6.6245E-1	-6.7000E+1
4.3117E-1	6.6318E-1	-5.6600E+2
4.3117E-1	6.6318E-1	-9.5000E+1
4.3129E-1	6.6173E-1	3.8000E+2
4.3140E-1	6.6124E-1	-1.4800E+2
4.3140E-1	6.6100E-1	-2.1400E+2
4.3152E-1	6.6221E-1	1.9300E+2
4.3164E-1	6.6245E-1	-9.0000E+1
4.3176E-1	6.6100E-1	-4.2100E+2
4.3176E-1	6.6173E-1	-6.5000E+1
4.3187E-1	6.6100E-1	5.0000E+1
4.3199E-1	6.6197E-1	-2.7900E+2
4.3199E-1	6.6124E-1	-3.3100E+2
4.3211E-1	6.6173E-1	-3.6000E+2
4.3223E-1	6.6075E-1	-3.6200E+2
4.3223E-1	6.5930E-1	-2.3100E+2
4.3234E-1	6.6245E-1	-1.0400E+2
4.3246E-1	6.6173E-1	1.0000E+0
4.3258E-1	6.5954E-1	-2.9400E+2
4.3258E-1	6.6100E-1	9.6000E+1
4.3270E-1	6.5905E-1	-2.8800E+2
4.3282E-1	6.6027E-1	-3.2400E+2
4.3282E-1	6.5978E-1	-5.3000E+2
4.3293E-1	6.6100E-1	-2.0000E+2
4.3305E-1	6.6027E-1	4.6000E+2
4.3305E-1	6.6027E-1	2.1100E+2
4.3317E-1	6.6075E-1	-3.8200E+2
4.3329E-1	6.6075E-1	-1.9300E+2
4.3340E-1	6.5930E-1	-2.5000E+1
4.3340E-1	6.6002E-1	-1.5500E+2
4.3352E-1	6.5881E-1	4.6800E+2
4.3364E-1	6.6051E-1	-1.6800E+2
4.3364E-1	6.5978E-1	3.1300E+2
4.3376E-1	6.5808E-1	4.9000E+1
4.3387E-1	6.6173E-1	-2.9400E+2
4.3399E-1	6.5905E-1	-6.4000E+1
4.3399E-1	6.5832E-1	-2.4600E+2
4.3411E-1	6.5881E-1	1.8400E+2
4.3423E-1	6.5808E-1	9.0000E+1
4.3423E-1	6.5857E-1	1.9200E+2
4.3434E-1	6.5930E-1	1.6700E+2
4.3446E-1	6.6051E-1	-7.9300E+2
4.3446E-1	6.5954E-1	-3.1700E+2
4.3458E-1	6.5881E-1	2.8500E+2
4.3470E-1	6.5832E-1	-6.7600E+2
4.3482E-1	6.5954E-1	-1.8400E+2
4.3482E-1	6.5760E-1	-1.0000E+2
4.3493E-1	6.5857E-1	3.4700E+2
4.3505E-1	6.5735E-1	-5.2000E+1
4.3505E-1	6.5808E-1	4.0000E+0
4.3517E-1	6.5857E-1	-3.8600E+2
4.3529E-1	6.5784E-1	-1.2400E+2
4.3540E-1	6.5735E-1	-4.1900E+2
4.3540E-1	6.5760E-1	-6.6400E+2
4.3552E-1	6.5687E-1	4.8100E+2
4.3564E-1	6.5590E-1	6.0000E+0
4.3564E-1	6.5808E-1	-2.1000E+2
4.3576E-1	6.5711E-1	-1.9900E+2
4.3587E-1	6.5711E-1	3.2900E+2
4.3587E-1	6.5735E-1	1.8500E+2
4.3599E-1	6.5711E-1	-3.0000E+2
4.3611E-1	6.5735E-1	-4.0800E+2
4.3611E-1	6.5808E-1	-3.5500E+2
4.3623E-1	6.5614E-1	-7.5000E+1
4.3634E-1	6.5784E-1	-3.0300E+2
4.3646E-1	6.5638E-1	-1.9900E+2
4.3646E-1	6.5784E-1	-2.0000E+1
4.3658E-1	6.5565E-1	-5.2000E+1
4.3670E-1	6.5590E-1	-5.9000E+1
4.3670E-1	6.5760E-1	-1.6500E+2
4.3682E-1	6.5565E-1	3.2300E+2
4.3693E-1	6.5492E-1	6.4000E+1
4.3693E-1	6.5638E-1	8.3600E+2
4.3705E-1	6.5565E-1	-4.2200E+2
4.3717E-1	6.5662E-1	-7.0000E+0
4.3729E-1	6.5590E-1	-3.8700E+2
4.3729E-1	6.5590E-1	-3.0300E+2
4.3740E-1	6.5614E-1	-6.7100E+2
4.3752E-1	6.5735E-1	-8.0000E+0
4.3752E-1	6.5419E-1	-3.6600E+2
4.3764E-1	6.5541E-1	2.7000E+2
4.3776E-1	6.5614E-1	4.0000E+0
4.3787E-1	6.5468E-1	-1.3100E+2
4.3787E-1	6.5444E-1	-1.3500E+2
4.3799E-1	6.5468E-1	7.6000E+1
4.3811E-1	6.5468E-1	8.2000E+1
4.3811E-1	6.5371E-1	-4.2900E+2
4.3823E-1	6.5614E-1	-5.4600E+2
4.3834E-1	6.5541E-1	2.0800E+2
4.3834E-1	6.5395E-1	6.9000E+1
4.3846E-1	6.5565E-1	3.3300E+2
4.3858E-1	6.5492E-1	-2.7800E+2
4.3870E-1	6.5371E-1	-2.4500E+2
4.3870E-1	6.5517E-1	2.6100E+2
4.3882E-1	6.5347E-1	-5.2000E+1
4.3893E-1	6.5371E-1	-5.4000E+1
4.3893E-1	6.5444E-1	4.0500E+2
4.3905E-1	6.5274E-1	-7.8900E+2
4.3917E-1	6.5419E-1	2.3900E+2
4.3929E-1	6.5468E-1	-5.9000E+1
4.3929E-1	6.5371E-1	-7.2000E+1
4.3940E-1	6.5347E-1	2.4500E+2
4.3952E-1	6.5492E-1	-1.5400E+2
4.3952E-1	6.5419E-1	7.8600E+2
4.3964E-1	6.5395E-1	-8.6300E+2
4.3976E-1	6.5225E-1	8.2000E+1
4.3976E-1	6.5468E-1	-2.5300E+2
4.3987E-1	6.5298E-1	-3.1000E+1
4.3999E-1	6.5371E-1	-4.8000E+1
4.3999E-1	6.5225E-1	-5.0300E+2
4.4011E-1	6.5371E-1	-3.6100E+2
4.4023E-1	6.5249E-1	-1.0300E+2
4.4035E-1	6.5468E-1	-4.4000E+1
4.4035E-1	6.5395E-1	-3.4400E+2
4.4046E-1	6.5201E-1	-3.3400E+2
4.4058E-1	6.5249E-1	-5.6900E+2
4.4058E-1	6.5371E-1	-7.3800E+2
4.4070E-1	6.5371E-1	1.7100E+2
4.4082E-1	6.5274E-1	-2.8600E+2
4.4082E-1	6.5128E-1	-4.7800E+2
4.4093E-1	6.5347E-1	-1.9400E+2
4.4105E-1	6.5152E-1	9.7000E+1
4.4117E-1	6.5177E-1	3.4100E+2
4.4117E-1	6.5177E-1	-9.7000E+1
4.4129E-1	6.5298E-1	2.0400E+2
4.4140E-1	6.5249E-1	-3.2400E+2
4.4140E-1	6.5152E-1	-4.3400E+2
4.4152E-1	6.5274E-1	-6.8000E+1
4.4164E-1	6.5298E-1	-2.4000E+1
4.4176E-1	6.5249E-1	-2.0000E+0
4.4176E-1	6.5225E-1	1.6900E+2
4.4187E-1	6.5201E-1	4.2000E+1
4.4199E-1	6.5079E-1	2.5400E+2
4.4199E-1	6.5152E-1	-1.1900E+2
4.4211E-1	6.5225E-1	-1.1200E+2
4.4223E-1	6.5055E-1	-1.3000E+1
4.4223E-1	6.5079E-1	3.4300E+2
4.4235E-1	6.5249E-1	-2.6800E+2
4.4246E-1	6.5249E-1	-2.0100E+2
4.4258E-1	6.5031E-1	3.9000E+1
4.4258E-1	6.5079E-1	-3.0900E+2
4.4270E-1	6.5201E-1	-1.9100E+2
4.4282E-1	6.5055E-1	1.5000E+2
4.4282E-1	6.4934E-1	1.7000E+1
4.4293E-1	6.5079E-1	2.9800E+2
4.4305E-1	6.5128E-1	-2.8900E+2
4.4317E-1	6.5079E-1	-7.1600E+2
4.4317E-1	6.5104E-1	-1.2200E+2
4.4329E-1	6.5104E-1	2.6600E+2
4.4340E-1	6.5006E-1	-2.6500E+2
4.4340E-1	6.5128E-1	2.9600E+2
4.4352E-1	6.5006E-1	-3.0900E+2
4.4364E-1	6.5006E-1	-6.5700E+2
4.4364E-1	6.4934E-1	2.4000E+1
4.4376E-1	6.5079E-1	-5.8800E+2
4.4387E-1	6.5152E-1	-6.2000E+1
4.4399E-1	6.5031E-1	-3.2700E+2
4.4399E-1	6.4982E-1	-3.4000E+2
4.4411E-1	6.5152E-1	7.4000E+1
4.4423E-1	6.4958E-1	4.1800E+2
4.4423E-1	6.4982E-1	-1.6600E+2
4.4435E-1	6.4934E-1	4.7000E+1
4.4446E-1	6.5006E-1	-7.6000E+1
4.4446E-1	6.4909E-1	1.6100E+2
4.4458E-1	6.4909E-1	-3.7800E+2
4.4470E-1	6.4788E-1	-1.4700E+2
4.4470E-1	6.4861E-1	-1.6800E+2
4.4482E-1	6.4715E-1	-1.4800E+2
4.4493E-1	6.4958E-1	4.7000E+1
4.4505E-1	6.4836E-1	-4.7500E+2
4.4505E-1	6.4788E-1	-1.3200E+2
4.4517E-1	6.4788E-1	-4.1000E+2
4.4529E-1	6.4909E-1	-3.1000E+2
4.4529E-1	6.4982E-1	-1.0210E+3
4.4540E-1	6.4885E-1	-7.8100E+2
4.4552E-1	6.4836E-1	-1.8500E+2
4.4564E-1	6.4812E-1	2.0900E+2
4.4564E-1	6.4934E-1	-1.8800E+2
4.4576E-1	6.4836E-1	2.6800E+2
4.4587E-1	6.4812E-1	-5.9900E+2
4.4587E-1	6.4861E-1	-1.7100E+2
4.4599E-1	6.4909E-1	-4.0000E+2
4.4611E-1	6.4958E-1	-3.7300E+2
4.4611E-1	6.4909E-1	-4.9300E+2
4.4623E-1	6.4861E-1	-5.5000E+2
4.4635E-1	6.4764E-1	5.2300E+2
4.4646E-1	6.4788E-1	-3.9800E+2
4.4646E-1	6.4715E-1	-1.8200E+2
4.4658E-1	6.4836E-1	1.9500E+2
4.4670E-1	6.4885E-1	7.6000E+1
4.4670E-1	6.4715E-1	-1.8300E+2
4.4682E-1	6.4764E-1	3.1000E+1
4.4693E-1	6.4836E-1	-1.9200E+2
4.4693E-1	6.4885E-1	-4.2400E+2
4.4705E-1	6.4861E-1	-1.1900E+2
4.4717E-1	6.4836E-1	-1.8000E+2
4.4729E-1	6.4788E-1	-1.1200E+2
4.4729E-1	6.4739E-1	-7.0000E+2
4.4740E-1	6.4739E-1	-6.6300E+2
4.4752E-1	6.4909E-1	-5.9900E+2
4.4752E-1	6.4764E-1	2.4000E+1
4.4764E-1	6.4764E-1	-4.1200E+2
4.4776E-1	6.4909E-1	-5.6900E+2
4.4787E-1	6.4812E-1	9.8000E+1
4.4787E-1	6.4715E-1	2.6400E+2
4.4799E-1	6.4909E-1	-7.0000E+1
4.4811E-1	6.4739E-1	-1.0800E+2
4.4811E-1	6.4691E-1	5.3000E+1
4.4823E-1	6.4861E-1	-7.4800E+2
4.4835E-1	6.4885E-1	-5.5900E+2
4.4835E-1	6.4812E-1	1.4000E+1
4.4846E-1	6.4642E-1	-1.1200E+2
4.4858E-1	6.4934E-1	-1.8000E+1
4.4858E-1	6.4812E-1	-3.1700E+2
