Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.000e+00,2.16,3.4
-1.996e+00,2.16,3.24
-1.992e+00,2.16,2.92
-1.988e+00,2.16,2.84
-1.984e+00,2.16,2.76
-1.980e+00,2.08,2.68
-1.976e+00,2.08,2.68
-1.972e+00,2,2.6
-1.968e+00,2,2.52
-1.964e+00,2,2.52
-1.960e+00,2,2.92
-1.956e+00,2,3
-1.952e+00,2,3.08
-1.948e+00,1.84,2.84
-1.944e+00,1.84,2.92
-1.940e+00,2,2.84
-1.936e+00,1.92,2.76
-1.932e+00,1.84,2.84
-1.928e+00,1.92,2.76
-1.924e+00,1.84,2.68
-1.920e+00,1.76,2.68
-1.916e+00,1.76,2.76
-1.912e+00,1.84,1.64
-1.908e+00,1.68,1.56
-1.904e+00,1.76,1.56
-1.900e+00,1.76,1.64
-1.896e+00,1.68,2.36
-1.892e+00,1.68,2.12
-1.888e+00,1.6,2.04
-1.884e+00,1.6,1.88
-1.880e+00,1.6,1.72
-1.876e+00,1.6,1.56
-1.872e+00,1.6,1.4
-1.868e+00,1.6,1.48
-1.864e+00,1.52,1.56
-1.860e+00,1.52,1.56
-1.856e+00,1.52,1.48
-1.852e+00,1.44,1.32
-1.848e+00,1.52,1.24
-1.844e+00,1.36,1.16
-1.840e+00,1.44,1
-1.836e+00,1.44,0.84
-1.832e+00,1.28,0.92
-1.828e+00,1.36,1
-1.824e+00,1.44,1
-1.820e+00,1.28,0.92
-1.816e+00,1.28,1.08
-1.812e+00,1.28,1.16
-1.808e+00,1.2,1.16
-1.804e+00,1.28,1.32
-1.800e+00,1.28,1.4
-1.796e+00,1.2,1.32
-1.792e+00,1.2,1.4
-1.788e+00,1.2,1.64
-1.784e+00,1.2,1.48
-1.780e+00,1.2,1.4
-1.776e+00,1.12,1.48
-1.772e+00,1.2,1.4
-1.768e+00,1.12,1.48
-1.764e+00,1.12,1.48
-1.760e+00,1.12,1.56
-1.756e+00,1.04,1.64
-1.752e+00,0.96,1.56
-1.748e+00,1.04,1.64
-1.744e+00,0.96,1.56
-1.740e+00,0.96,1.48
-1.736e+00,1.04,1.56
-1.732e+00,0.96,1.4
-1.728e+00,0.88,1.48
-1.724e+00,0.96,1.56
-1.720e+00,0.96,1.56
-1.716e+00,0.96,1.64
-1.712e+00,0.88,1.64
-1.708e+00,0.8,1.56
-1.704e+00,0.88,1.64
-1.700e+00,0.8,1.56
-1.696e+00,0.8,1.56
-1.692e+00,0.8,1.56
-1.688e+00,0.72,1.56
-1.684e+00,0.72,1.64
-1.680e+00,0.64,1.88
-1.676e+00,0.72,2.6
-1.672e+00,0.72,2.12
-1.668e+00,0.56,1.8
-1.664e+00,0.64,1.88
-1.660e+00,0.64,2.12
-1.656e+00,0.56,2.28
-1.652e+00,0.64,2.52
-1.648e+00,0.56,2.84
