CH1	CH2
2.16	3.4
2.16	3.24
2.16	2.92
2.16	2.84
2.16	2.76
2.08	2.68
2.08	2.68
2	2.6
2	2.52
2	2.52
2	2.92
2	3
2	3.08
1.84	2.84
1.84	2.92
2	2.84
1.92	2.76
1.84	2.84
1.92	2.76
1.84	2.68
1.76	2.68
1.76	2.76
1.84	1.64
1.68	1.56
1.76	1.56
1.76	1.64
1.68	2.36
1.68	2.12
1.6	2.04
1.6	1.88
1.6	1.72
1.6	1.56
1.6	1.4
1.6	1.48
1.52	1.56
1.52	1.56
1.52	1.48
1.44	1.32
1.52	1.24
1.36	1.16
1.44	1
1.44	0.84
1.28	0.92
1.36	1
1.44	1
1.28	0.92
1.28	1.08
1.28	1.16
1.2	1.16
1.28	1.32
1.28	1.4
1.2	1.32
1.2	1.4
1.2	1.64
1.2	1.48
1.2	1.4
1.12	1.48
1.2	1.4
1.12	1.48
1.12	1.48
1.12	1.56
1.04	1.64
0.96	1.56
1.04	1.64
0.96	1.56
0.96	1.48
1.04	1.56
0.96	1.4
0.88	1.48
0.96	1.56
0.96	1.56
0.96	1.64
0.88	1.64
0.8	1.56
0.88	1.64
0.8	1.56
0.8	1.56
0.8	1.56
0.72	1.56
0.72	1.64
0.64	1.88
0.72	2.6
0.72	2.12
0.56	1.8
0.64	1.88
0.64	2.12
0.56	2.28
0.64	2.52
0.56	2.84
0.64	2.92
0.56	2.84
0.56	3
0.48	3
0.48	3.24
0.48	3.48
0.48	3.64
0.4	3.8
0.4	3.8
0.4	3.8
0.4	3.96
0.4	4.12
0.4	4.2
0.24	4.12
0.24	3.96
0.24	4.04
0.24	4.12
0.16	4.12
0.24	3.96
0.24	4.04
0.16	4.04
0.16	4.12
0.16	4.2
0.24	4.44
0.16	4.2
0.16	3.88
0	3.96
0.08	3.96
0.08	3.96
0	4.12
0	4.36
0	4.68
0	4.6
0	4.36
0.08	3.96
0	3.88
0	3.8
0	3.72
0	4.04
0	4.68
0.08	4.44
0	4.04
0.16	4.44
0.08	4.52
0.08	3.72
0.24	3.8
0.16	3.96
0.08	4.04
0.16	4.12
0.24	4.36
0.16	4.52
0.24	4.28
0.32	4.12
0.24	4.04
0.32	4.2
0.4	4.2
0.32	4.12
0.4	4.2
0.32	4.44
0.32	4.36
0.32	3.96
0.4	3.96
0.4	3.96
0.48	3.96
0.4	3.96
0.48	3.96
0.48	4.12
0.48	3.96
0.56	3.96
0.56	3.96
0.64	3.88
0.56	3.56
0.64	3.4
0.64	3.32
0.56	2.92
0.56	2.92
0.64	3.16
0.72	3.32
0.72	3.32
0.8	3.08
0.72	2.68
0.8	2.36
0.8	2.04
0.72	1.88
0.88	1.8
0.88	3.16
0.96	3
0.96	2.84
1.04	2.76
0.88	2.76
0.96	1.72
0.88	1.56
0.96	1.64
0.88	1.64
0.96	1.64
0.96	2.04
1.04	2.12
1.04	2.12
1.12	2.04
1.04	1.96
1.12	1.8
1.12	1.56
1.12	1.56
1.2	1.56
1.2	1.48
1.2	1.48
1.2	1.48
1.2	1.48
1.28	1.4
1.28	1.4
1.28	1.4
1.28	1.32
1.36	1.4
1.44	1.4
1.28	1.4
1.36	1.4
1.44	1.48
1.52	1.56
1.44	1.4
1.44	1.32
1.52	1.16
1.44	1.24
1.6	1.16
1.6	1
1.52	0.84
1.52	0.92
1.6	0.92
1.6	1.16
1.6	1.32
1.68	1.4
1.68	1.4
1.68	1.64
1.76	1.56
1.68	1.56
1.68	1.56
1.84	1.64
1.84	1.56
1.84	1.8
1.84	2.04
1.84	2.12
1.84	2.36
1.92	2.44
2	2.68
1.92	1.64
1.92	1.64
2	1.88
2	2.76
1.92	2.76
2	2.76
2	2.76
2	2.76
2	2.68
2	2.68
2.08	2.84
2.16	2.84
2.16	3
2.24	3.24
2.16	3.24
2.16	3.16
2.24	3.08
2.24	3
2.24	2.84
2.24	2.84
2.32	2.84
2.32	3.08
2.32	3.24
2.32	3.4
2.4	3.56
2.32	3.56
2.32	3.8
2.4	3.72
2.4	3.64
2.4	3.48
2.4	3.64
2.4	3.64
2.48	3.64
2.48	3.8
2.56	3.72
2.56	3.8
2.56	3.88
2.56	3.88
2.56	3.88
2.56	3.96
2.64	3.96
2.56	3.96
2.64	4.04
2.64	4.04
2.72	4.12
2.64	4.2
2.72	4.36
2.72	4.44
2.72	4.44
2.8	4.44
2.8	4.44
2.8	4.36
2.8	4.28
2.8	4.12
2.8	4.04
2.96	4.04
2.96	3.88
2.96	3.8
2.96	3.8
2.88	3.72
2.96	3.72
3.04	3.8
2.88	3.96
2.96	4.28
3.04	4.28
2.96	4.44
3.12	4.68
3.04	4.76
3.12	4.68
3.2	4.12
3.12	3.96
3.12	3.96
3.28	3.96
3.2	4.12
3.28	4.2
3.28	4.2
3.28	4.2
3.36	4.2
3.28	4.2
3.28	4.2
3.36	4.28
3.36	4.12
3.36	4.12
3.36	4.12
3.36	4.04
3.52	4.04
3.44	3.96
3.44	4.04
3.44	3.96
3.52	3.88
3.52	3.88
3.52	3.88
3.6	3.72
3.6	3.64
3.6	3.56
3.6	3.4
3.6	3.32
3.6	3.16
3.6	3
3.68	2.76
3.68	2.52
3.76	2.28
3.6	2.2
3.68	2.2
3.76	2.12
3.76	2.12
3.76	2.04
3.84	1.96
3.76	1.96
3.84	1.8
3.92	1.8
3.92	1.72
