time	CH1	CH2
-1.00E+00	1.12281	1.40919
-9.98E-01	1.13469	1.41422
-9.96E-01	1.14563	1.41844
-9.94E-01	1.15688	1.4225
-9.92E-01	1.16656	1.42691
-9.90E-01	1.17656	1.43191
-9.88E-01	1.18656	1.43619
-9.86E-01	1.19531	1.44019
-9.84E-01	1.20469	1.44425
-9.82E-01	1.21406	1.44906
-9.80E-01	1.22375	1.45434
-9.78E-01	1.23344	1.45841
-9.76E-01	1.24406	1.46134
-9.74E-01	1.25438	1.46456
-9.72E-01	1.26219	1.46922
-9.70E-01	1.27156	1.47475
-9.68E-01	1.28094	1.47853
-9.66E-01	1.29375	1.48134
-9.64E-01	1.30469	1.48416
-9.62E-01	1.31438	1.48741
-9.60E-01	1.32438	1.49113
-9.58E-01	1.33688	1.49425
-9.56E-01	1.34688	1.49634
-9.54E-01	1.36	1.49828
-9.52E-01	1.37031	1.50062
-9.50E-01	1.38094	1.50328
-9.48E-01	1.39125	1.50531
-9.46E-01	1.40125	1.50606
-9.44E-01	1.41219	1.50663
-9.42E-01	1.42375	1.50769
-9.40E-01	1.43312	1.50872
-9.38E-01	1.44312	1.50903
-9.36E-01	1.45469	1.50856
-9.34E-01	1.465	1.50816
-9.32E-01	1.47594	1.50809
-9.30E-01	1.48469	1.50809
-9.28E-01	1.49219	1.50663
-9.26E-01	1.50375	1.50428
-9.24E-01	1.515	1.50178
-9.22E-01	1.525	1.49972
-9.20E-01	1.53438	1.49766
-9.18E-01	1.54438	1.49503
-9.16E-01	1.55594	1.49097
-9.14E-01	1.56906	1.48731
-9.12E-01	1.57875	1.48416
-9.10E-01	1.58875	1.48078
-9.08E-01	1.60125	1.47675
-9.06E-01	1.61281	1.47091
-9.04E-01	1.625	1.46472
-9.02E-01	1.63594	1.46041
-9.00E-01	1.64375	1.45594
-8.98E-01	1.65563	1.45116
-8.96E-01	1.665	1.44509
-8.94E-01	1.675	1.43834
-8.92E-01	1.68906	1.43353
-8.90E-01	1.6975	1.42934
-8.88E-01	1.70781	1.42434
-8.86E-01	1.71781	1.4185
-8.84E-01	1.72781	1.41181
-8.82E-01	1.73938	1.40637
-8.80E-01	1.75219	1.40194
-8.78E-01	1.76438	1.39769
-8.76E-01	1.77531	1.39247
-8.74E-01	1.78563	1.38734
-8.72E-01	1.79563	1.38384
-8.70E-01	1.80344	1.38134
-8.68E-01	1.81719	1.37825
-8.66E-01	1.82969	1.37506
-8.64E-01	1.84125	1.37203
-8.62E-01	1.85156	1.36969
-8.60E-01	1.8625	1.36791
-8.58E-01	1.87031	1.36662
-8.56E-01	1.88094	1.36431
-8.54E-01	1.89281	1.36297
-8.52E-01	1.90344	1.36269
-8.50E-01	1.91219	1.36331
-8.48E-01	1.92375	1.363
-8.46E-01	1.93219	1.36275
-8.44E-01	1.9425	1.36316
-8.42E-01	1.955	1.36462
-8.40E-01	1.96656	1.36713
-8.38E-01	1.97969	1.36912
-8.36E-01	1.98781	1.37075
-8.34E-01	2	1.372
-8.32E-01	2.00937	1.37491
-8.30E-01	2.01969	1.37822
-8.28E-01	2.02875	1.38078
-8.26E-01	2.03906	1.38266
-8.24E-01	2.05063	1.38563
-8.22E-01	2.06156	1.39006
-8.20E-01	2.06937	1.39494
-8.18E-01	2.08	1.39878
-8.16E-01	2.09094	1.40181
-8.14E-01	2.10188	1.40538
-8.12E-01	2.11219	1.40987
-8.10E-01	2.12375	1.41581
-8.08E-01	2.13469	1.42078
-8.06E-01	2.1425	1.42444
-8.04E-01	2.15344	1.42841
-8.02E-01	2.1625	1.43328
-8.00E-01	2.175	1.43872
-7.98E-01	2.1875	1.444
-7.96E-01	2.2	1.44775
-7.94E-01	2.21219	1.4515
-7.92E-01	2.22313	1.45609
-7.90E-01	2.23313	1.46097
-7.88E-01	2.24344	1.46509
-7.86E-01	2.25281	1.46881
-7.84E-01	2.26219	1.47266
-7.82E-01	2.27375	1.47697
-7.80E-01	2.2825	1.48128
-7.78E-01	2.29156	1.48509
-7.76E-01	2.3025	1.48734
-7.74E-01	2.31281	1.48988
-7.72E-01	2.32281	1.49341
-7.70E-01	2.33281	1.49719
-7.68E-01	2.34219	1.49956
-7.66E-01	2.35688	1.501
-7.64E-01	2.36687	1.50219
-7.62E-01	2.37875	1.50413
