CH1	CH2
1.76	0.31
1.76	0.29
1.84	0.27
1.92	0.31
1.92	0.29
1.92	0.27
1.92	0.27
1.92	0.25
1.92	0.23
1.92	0.23
2	0.25
1.92	0.21
2.08	0.21
2.16	0.21
2.08	0.23
2.08	0.23
2.16	0.19
2.08	0.21
2.16	0.21
2.16	0.23
2.08	0.21
2.16	0.21
2.16	0.23
2.16	0.23
2.16	0.21
2.24	0.21
2.24	0.23
2.32	0.23
2.32	0.25
2.4	0.27
2.4	0.29
2.32	0.25
2.4	0.29
2.4	0.27
2.4	0.31
2.4	0.33
2.48	0.33
2.48	0.35
2.48	0.35
2.56	0.39
2.48	0.39
2.48	0.39
2.56	0.43
2.64	0.41
2.56	0.43
2.56	0.49
2.56	0.45
2.64	0.47
2.56	0.49
2.64	0.51
2.72	0.51
2.72	0.51
2.8	0.57
2.8	0.57
2.8	0.57
2.8	0.59
2.8	0.61
2.88	0.63
2.8	0.63
2.8	0.67
2.8	0.67
2.88	0.67
2.96	0.69
2.88	0.73
2.96	0.73
2.96	0.75
3.04	0.79
2.96	0.79
3.04	0.79
2.96	0.81
3.04	0.85
3.04	0.87
3.12	0.87
3.12	0.91
3.12	0.93
3.12	0.93
3.2	0.95
3.2	0.97
3.2	0.99
3.2	0.99
3.28	1.01
3.28	1.03
3.28	1.01
3.28	1.05
3.28	1.07
3.36	1.05
3.36	1.09
3.36	1.09
3.52	1.11
3.36	1.11
3.44	1.11
3.52	1.11
3.44	1.11
3.44	1.11
3.52	1.13
3.52	1.09
3.6	1.11
3.52	1.11
3.52	1.13
3.52	1.09
3.6	1.11
3.68	1.09
3.68	1.09
3.6	1.09
3.6	1.09
3.68	1.09
3.84	1.05
3.76	1.07
3.76	1.05
3.68	1.05
3.84	1.05
3.76	1.03
3.84	1.05
3.84	1.03
3.76	1.05
3.84	1.01
3.84	1.01
3.92	1.03
4	0.99
3.92	0.99
3.92	0.99
4	0.99
4	0.97
4.08	0.97
4	0.95
4	0.95
4.08	0.95
4.24	0.93
4.08	0.89
4.08	0.91
4.24	0.87
4.24	0.87
4.24	0.85
4.32	0.83
4.16	0.81
4.24	0.77
4.32	0.77
4.32	0.73
4.4	0.73
4.32	0.71
4.32	0.69
4.4	0.67
4.4	0.65
4.4	0.63
4.4	0.61
4.4	0.61
4.48	0.57
4.48	0.59
4.48	0.53
4.48	0.53
4.56	0.51
4.48	0.49
4.48	0.49
4.4	0.47
4.4	0.49
4.4	0.51
4.4	0.51
4.48	0.55
4.24	0.55
4.4	0.57
4.32	0.59
4.32	0.59
4.32	0.61
4.32	0.61
4.24	0.65
4.16	0.67
4.24	0.67
4.08	0.71
4.16	0.71
4.16	0.75
4.16	0.77
4.08	0.77
4.08	0.81
4.08	0.83
4	0.85
4.08	0.85
3.92	0.87
3.92	0.89
4	0.93
3.84	0.93
4	0.93
3.92	0.95
4	0.97
3.84	0.97
3.92	0.97
3.92	0.99
3.84	1.01
3.76	0.99
3.84	1.01
3.84	0.99
3.76	1.01
