TIME	CH1	CH2
-1.00E+00	3.36063	1.11009
-9.98E-01	3.35156	1.10731
-9.96E-01	3.34063	1.10581
-9.94E-01	3.32812	1.10422
-9.92E-01	3.31563	1.10216
-9.90E-01	3.30313	1.09975
-9.88E-01	3.29375	1.09806
-9.86E-01	3.28531	1.09722
-9.84E-01	3.27313	1.0965
-9.82E-01	3.26438	1.09509
-9.80E-01	3.25438	1.09353
-9.78E-01	3.245	1.09247
-9.76E-01	3.23344	1.09238
-9.74E-01	3.22031	1.09247
-9.72E-01	3.20688	1.09159
-9.70E-01	3.19531	1.091
-9.68E-01	3.18594	1.09069
-9.66E-01	3.17437	1.09197
-9.64E-01	3.16156	1.09353
-9.62E-01	3.15094	1.0945
-9.60E-01	3.14219	1.09456
-9.58E-01	3.13281	1.09534
-9.56E-01	3.12156	1.09712
-9.54E-01	3.11063	1.09897
-9.52E-01	3.09938	1.10031
-9.50E-01	3.08781	1.10147
-9.48E-01	3.07875	1.10328
-9.46E-01	3.06906	1.10597
-9.44E-01	3.05906	1.10916
-9.42E-01	3.04906	1.11144
-9.40E-01	3.03906	1.11347
-9.38E-01	3.02969	1.11547
-9.36E-01	3.01781	1.11844
-9.34E-01	3.00687	1.12106
-9.32E-01	2.99781	1.12334
-9.30E-01	2.98781	1.12572
-9.28E-01	2.97844	1.12825
-9.26E-01	2.9675	1.13213
-9.24E-01	2.95656	1.13584
-9.22E-01	2.94719	1.13903
-9.20E-01	2.93531	1.14122
-9.18E-01	2.92469	1.14363
-9.16E-01	2.91469	1.14688
-9.14E-01	2.90375	1.15025
-9.12E-01	2.89344	1.15263
-9.10E-01	2.88187	1.155
-9.08E-01	2.87156	1.15709
-9.06E-01	2.86	1.16122
-9.04E-01	2.84781	1.16416
-9.02E-01	2.83594	1.16625
-9.00E-01	2.82563	1.16756
-8.98E-01	2.8175	1.16906
-8.96E-01	2.80563	1.17109
-8.94E-01	2.79406	1.17334
-8.92E-01	2.78375	1.17434
-8.90E-01	2.77438	1.17488
-8.88E-01	2.76438	1.17588
-8.86E-01	2.75219	1.17747
-8.84E-01	2.74125	1.17884
-8.82E-01	2.73031	1.17909
-8.80E-01	2.72	1.17894
-8.78E-01	2.7125	1.17863
-8.76E-01	2.70125	1.17916
-8.74E-01	2.68969	1.17922
-8.72E-01	2.67906	1.17878
-8.70E-01	2.66938	1.17753
-8.68E-01	2.66	1.17675
-8.66E-01	2.65031	1.17628
-8.64E-01	2.63906	1.17581
-8.62E-01	2.63063	1.17419
-8.60E-01	2.62125	1.17225
-8.58E-01	2.61063	1.17037
-8.56E-01	2.59875	1.16919
-8.54E-01	2.58656	1.16766
-8.52E-01	2.57719	1.16534
-8.50E-01	2.56906	1.16206
-8.48E-01	2.55969	1.15894
-8.46E-01	2.55063	1.15669
