Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-2.000e+00,1.76,0.31
-1.996e+00,1.76,0.29
-1.992e+00,1.84,0.27
-1.988e+00,1.92,0.31
-1.984e+00,1.92,0.29
-1.980e+00,1.92,0.27
-1.976e+00,1.92,0.27
-1.972e+00,1.92,0.25
-1.968e+00,1.92,0.23
-1.964e+00,1.92,0.23
-1.960e+00,2,0.25
-1.956e+00,1.92,0.21
-1.952e+00,2.08,0.21
-1.948e+00,2.16,0.21
-1.944e+00,2.08,0.23
-1.940e+00,2.08,0.23
-1.936e+00,2.16,0.19
-1.932e+00,2.08,0.21
-1.928e+00,2.16,0.21
-1.924e+00,2.16,0.23
-1.920e+00,2.08,0.21
-1.916e+00,2.16,0.21
-1.912e+00,2.16,0.23
-1.908e+00,2.16,0.23
-1.904e+00,2.16,0.21
-1.900e+00,2.24,0.21
-1.896e+00,2.24,0.23
-1.892e+00,2.32,0.23
-1.888e+00,2.32,0.25
-1.884e+00,2.4,0.27
-1.880e+00,2.4,0.29
-1.876e+00,2.32,0.25
-1.872e+00,2.4,0.29
-1.868e+00,2.4,0.27
-1.864e+00,2.4,0.31
-1.860e+00,2.4,0.33
-1.856e+00,2.48,0.33
-1.852e+00,2.48,0.35
-1.848e+00,2.48,0.35
-1.844e+00,2.56,0.39
-1.840e+00,2.48,0.39
-1.836e+00,2.48,0.39
-1.832e+00,2.56,0.43
-1.828e+00,2.64,0.41
-1.824e+00,2.56,0.43
-1.820e+00,2.56,0.49
-1.816e+00,2.56,0.45
-1.812e+00,2.64,0.47
-1.808e+00,2.56,0.49
-1.804e+00,2.64,0.51
-1.800e+00,2.72,0.51
-1.796e+00,2.72,0.51
-1.792e+00,2.8,0.57
-1.788e+00,2.8,0.57
-1.784e+00,2.8,0.57
-1.780e+00,2.8,0.59
-1.776e+00,2.8,0.61
-1.772e+00,2.88,0.63
-1.768e+00,2.8,0.63
-1.764e+00,2.8,0.67
-1.760e+00,2.8,0.67
-1.756e+00,2.88,0.67
-1.752e+00,2.96,0.69
-1.748e+00,2.88,0.73
-1.744e+00,2.96,0.73
-1.740e+00,2.96,0.75
-1.736e+00,3.04,0.79
-1.732e+00,2.96,0.79
-1.728e+00,3.04,0.79
-1.724e+00,2.96,0.81
-1.720e+00,3.04,0.85
-1.716e+00,3.04,0.87
-1.712e+00,3.12,0.87
-1.708e+00,3.12,0.91
-1.704e+00,3.12,0.93
-1.700e+00,3.12,0.93
-1.696e+00,3.2,0.95
-1.692e+00,3.2,0.97
-1.688e+00,3.2,0.99
-1.684e+00,3.2,0.99
-1.680e+00,3.28,1.01
-1.676e+00,3.28,1.03
-1.672e+00,3.28,1.01
-1.668e+00,3.28,1.05
-1.664e+00,3.28,1.07
-1.660e+00,3.36,1.05
-1.656e+00,3.36,1.09
-1.652e+00,3.36,1.09
