Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.2
Vertical Position,0,-5
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.000e+00,0.982812,1.20437
-9.980e-01,0.992812,1.20575
-9.960e-01,1.00469,1.20756
-9.940e-01,1.01469,1.20872
-9.920e-01,1.025,1.20931
-9.900e-01,1.03656,1.20972
-9.880e-01,1.04594,1.21091
-9.860e-01,1.05375,1.21284
-9.840e-01,1.06531,1.21375
-9.820e-01,1.07781,1.21431
-9.800e-01,1.09156,1.21494
-9.780e-01,1.1025,1.21616
-9.760e-01,1.10969,1.21822
-9.740e-01,1.12187,1.21928
-9.720e-01,1.13375,1.21966
-9.700e-01,1.14469,1.21997
-9.680e-01,1.15688,1.22094
-9.660e-01,1.16719,1.22269
-9.640e-01,1.17719,1.22316
-9.620e-01,1.18719,1.22341
-9.600e-01,1.19688,1.22347
-9.580e-01,1.20531,1.22444
-9.560e-01,1.21313,1.22572
-9.540e-01,1.22156,1.2265
-9.520e-01,1.22938,1.22666
-9.500e-01,1.24031,1.22684
-9.480e-01,1.24969,1.22753
-9.460e-01,1.26031,1.22872
-9.440e-01,1.27,1.22947
-9.420e-01,1.28,1.22931
-9.400e-01,1.2925,1.22909
-9.380e-01,1.30313,1.22988
-9.360e-01,1.31125,1.23097
-9.340e-01,1.32188,1.23128
-9.320e-01,1.33219,1.23109
-9.300e-01,1.34469,1.23087
-9.280e-01,1.35469,1.23128
-9.260e-01,1.36781,1.23228
-9.240e-01,1.37781,1.2325
-9.220e-01,1.38875,1.23203
-9.200e-01,1.40063,1.23159
-9.180e-01,1.41156,1.23219
-9.160e-01,1.42281,1.23313
-9.140e-01,1.43312,1.23303
-9.120e-01,1.44469,1.23272
-9.100e-01,1.45125,1.23206
-9.080e-01,1.45938,1.23228
-9.060e-01,1.47063,1.23306
-9.040e-01,1.48156,1.23313
-9.020e-01,1.49375,1.23256
-9.000e-01,1.50406,1.23206
-8.980e-01,1.515,1.23203
-8.960e-01,1.52406,1.23266
-8.940e-01,1.53563,1.2325
-8.920e-01,1.54656,1.23181
-8.900e-01,1.55656,1.23097
-8.880e-01,1.56906,1.23103
-8.860e-01,1.57875,1.23128
-8.840e-01,1.59031,1.23109
-8.820e-01,1.60125,1.23003
-8.800e-01,1.61062,1.22931
-8.780e-01,1.62187,1.22906
-8.760e-01,1.63156,1.22956
-8.740e-01,1.64469,1.22925
-8.720e-01,1.65625,1.22825
-8.700e-01,1.66563,1.22706
-8.680e-01,1.67437,1.22653
-8.660e-01,1.68344,1.22691
-8.640e-01,1.69375,1.22622
-8.620e-01,1.70594,1.22497
-8.600e-01,1.71562,1.22394
-8.580e-01,1.72844,1.22356
-8.560e-01,1.73969,1.22347
-8.540e-01,1.74906,1.22272
-8.520e-01,1.75906,1.22153
-8.500e-01,1.77125,1.21997
-8.480e-01,1.78406,1.2195
-8.460e-01,1.79406,1.21913
