Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,REF1
-2.000e+00,0.76125
-1.996e+00,0.751875
-1.992e+00,0.7425
-1.988e+00,0.7325
-1.984e+00,0.721562
-1.980e+00,0.710625
-1.976e+00,0.704375
-1.972e+00,0.691875
-1.968e+00,0.68125
-1.964e+00,0.667813
-1.960e+00,0.654687
-1.956e+00,0.64375
-1.952e+00,0.632812
-1.948e+00,0.624375
-1.944e+00,0.61125
-1.940e+00,0.598125
-1.936e+00,0.589375
-1.932e+00,0.579375
-1.928e+00,0.57
-1.924e+00,0.5575
-1.920e+00,0.5475
-1.916e+00,0.539062
-1.912e+00,0.527813
-1.908e+00,0.516563
-1.904e+00,0.508437
-1.900e+00,0.498438
-1.896e+00,0.489063
-1.892e+00,0.479063
-1.888e+00,0.46875
-1.884e+00,0.458125
-1.880e+00,0.44875
-1.876e+00,0.437812
-1.872e+00,0.42625
-1.868e+00,0.416875
-1.864e+00,0.405313
-1.860e+00,0.396562
-1.856e+00,0.386563
-1.852e+00,0.376563
-1.848e+00,0.365625
-1.844e+00,0.355938
-1.840e+00,0.344375
-1.836e+00,0.335
-1.832e+00,0.3225
-1.828e+00,0.311875
-1.824e+00,0.300938
-1.820e+00,0.290625
-1.816e+00,0.281562
-1.812e+00,0.272188
-1.808e+00,0.260625
-1.804e+00,0.249062
-1.800e+00,0.237813
-1.796e+00,0.230938
-1.792e+00,0.237187
-1.788e+00,0.247188
-1.784e+00,0.255
-1.780e+00,0.265937
-1.776e+00,0.277813
-1.772e+00,0.287813
-1.768e+00,0.296875
-1.764e+00,0.307188
-1.760e+00,0.319375
-1.756e+00,0.332813
-1.752e+00,0.341562
-1.748e+00,0.35375
-1.744e+00,0.364687
-1.740e+00,0.374688
-1.736e+00,0.384063
-1.732e+00,0.394062
-1.728e+00,0.406562
-1.724e+00,0.415938
-1.720e+00,0.425312
-1.716e+00,0.435312
-1.712e+00,0.444063
-1.708e+00,0.455625
-1.704e+00,0.465625
-1.700e+00,0.476875
-1.696e+00,0.489687
-1.692e+00,0.496875
-1.688e+00,0.508437
-1.684e+00,0.516563
-1.680e+00,0.527188
-1.676e+00,0.5375
-1.672e+00,0.5475
-1.668e+00,0.5575
-1.664e+00,0.56625
-1.660e+00,0.57625
-1.656e+00,0.58625
-1.652e+00,0.595625
-1.648e+00,0.606563
-1.644e+00,0.620313
-1.640e+00,0.628125
-1.636e+00,0.640625
-1.632e+00,0.652188
-1.628e+00,0.664687
-1.624e+00,0.677188
-1.620e+00,0.688125
-1.616e+00,0.695937
-1.612e+00,0.70625
-1.608e+00,0.716875
-1.604e+00,0.728437
-1.600e+00,0.738125
-1.596e+00,0.750625
-1.592e+00,0.76125
-1.588e+00,0.773125
-1.584e+00,0.78375
-1.580e+00,0.794687
-1.576e+00,0.805625
-1.572e+00,0.815
-1.568e+00,0.826562
-1.564e+00,0.838125
-1.560e+00,0.848438
-1.556e+00,0.86
-1.552e+00,0.867188
-1.548e+00,0.879688
-1.544e+00,0.894375
-1.540e+00,0.904375
-1.536e+00,0.915312
-1.532e+00,0.924375
-1.528e+00,0.93625
-1.524e+00,0.946562
-1.520e+00,0.955
-1.516e+00,0.964375
-1.512e+00,0.972187
-1.508e+00,0.98125
-1.504e+00,0.994688
-1.500e+00,1.00781
-1.496e+00,1.01719
-1.492e+00,1.02656
-1.488e+00,1.03719
-1.484e+00,1.04812
-1.480e+00,1.05688
-1.476e+00,1.06844
-1.472e+00,1.08
-1.468e+00,1.08875
-1.464e+00,1.10031
-1.460e+00,1.11062
-1.456e+00,1.12281
-1.452e+00,1.13375
-1.448e+00,1.14406
-1.444e+00,1.15406
-1.440e+00,1.16406
-1.436e+00,1.17344
-1.432e+00,1.18125
-1.428e+00,1.19063
-1.424e+00,1.20125
-1.420e+00,1.20938
-1.416e+00,1.22
-1.412e+00,1.22875
-1.408e+00,1.23781
-1.404e+00,1.24969
-1.400e+00,1.25906
-1.396e+00,1.26844
-1.392e+00,1.27937
-1.388e+00,1.29
-1.384e+00,1.30156
-1.380e+00,1.31188
-1.376e+00,1.32188
-1.372e+00,1.33281
-1.368e+00,1.34781
-1.364e+00,1.35781
-1.360e+00,1.36688
-1.356e+00,1.37938
-1.352e+00,1.39281
-1.348e+00,1.40344
-1.344e+00,1.41281
-1.340e+00,1.42437
-1.336e+00,1.43625
-1.332e+00,1.44469
-1.328e+00,1.455
-1.324e+00,1.46406
-1.320e+00,1.47437
-1.316e+00,1.48469
-1.312e+00,1.49594
-1.308e+00,1.50531
-1.304e+00,1.515
-1.300e+00,1.52406
-1.296e+00,1.535
-1.292e+00,1.54438
-1.288e+00,1.55906
-1.284e+00,1.57094
-1.280e+00,1.58031
-1.276e+00,1.5925
-1.272e+00,1.60125
-1.268e+00,1.61438
-1.264e+00,1.62594
-1.260e+00,1.63625
-1.256e+00,1.64875
-1.252e+00,1.65938
-1.248e+00,1.66875
-1.244e+00,1.67719
-1.240e+00,1.68875
-1.236e+00,1.69969
-1.232e+00,1.70844
-1.228e+00,1.71938
-1.224e+00,1.73031
-1.220e+00,1.74125
-1.216e+00,1.75188
-1.212e+00,1.76281
-1.208e+00,1.77313
-1.204e+00,1.78531
-1.200e+00,1.79469
-1.196e+00,1.80625
-1.192e+00,1.81812
-1.188e+00,1.82719
-1.184e+00,1.8375
-1.180e+00,1.85
-1.176e+00,1.86156
-1.172e+00,1.87
-1.168e+00,1.88031
-1.164e+00,1.89125
-1.160e+00,1.90125
-1.156e+00,1.90969
-1.152e+00,1.92063
-1.148e+00,1.93063
-1.144e+00,1.94031
-1.140e+00,1.95125
-1.136e+00,1.96281
-1.132e+00,1.97531
-1.128e+00,1.98625
-1.124e+00,1.99438
-1.120e+00,2.00563
-1.116e+00,2.01719
-1.112e+00,2.02719
-1.108e+00,2.04062
-1.104e+00,2.05281
-1.100e+00,2.06156
-1.096e+00,2.07313
-1.092e+00,2.08188
-1.088e+00,2.0925
-1.084e+00,2.10656
-1.080e+00,2.11531
-1.076e+00,2.12594
-1.072e+00,2.13281
-1.068e+00,2.14625
-1.064e+00,2.16031
-1.060e+00,2.17188
-1.056e+00,2.18188
-1.052e+00,2.19188
-1.048e+00,2.20438
-1.044e+00,2.21469
-1.040e+00,2.22562
-1.036e+00,2.23563
-1.032e+00,2.24656
-1.028e+00,2.25656
-1.024e+00,2.26688
-1.020e+00,2.27438
-1.016e+00,2.28719
-1.012e+00,2.29781
-1.008e+00,2.30656
-1.004e+00,2.315
-1.000e+00,2.32437
-9.960e-01,2.33656
-9.920e-01,2.34844
-9.880e-01,2.35906
-9.840e-01,2.37156
-9.800e-01,2.38125
-9.760e-01,2.39125
-9.720e-01,2.40125
-9.680e-01,2.41312
-9.640e-01,2.4225
-9.600e-01,2.43312
-9.560e-01,2.4425
-9.520e-01,2.44937
-9.480e-01,2.45812
-9.440e-01,2.46594
-9.400e-01,2.47375
-9.360e-01,2.48313
-9.320e-01,2.49125
-9.280e-01,2.50219
-9.240e-01,2.51187
-9.200e-01,2.52125
-9.160e-01,2.53125
-9.120e-01,2.53969
-9.080e-01,2.54906
-9.040e-01,2.55812
-9.000e-01,2.56688
-8.960e-01,2.57781
-8.920e-01,2.58719
-8.880e-01,2.59969
-8.840e-01,2.61031
-8.800e-01,2.62156
-8.760e-01,2.63313
-8.720e-01,2.64094
-8.680e-01,2.65344
-8.640e-01,2.66344
-8.600e-01,2.67188
-8.560e-01,2.68438
-8.520e-01,2.69281
-8.480e-01,2.70219
-8.440e-01,2.7125
-8.400e-01,2.72094
-8.360e-01,2.73313
-8.320e-01,2.74187
-8.280e-01,2.75438
-8.240e-01,2.765
-8.200e-01,2.77281
-8.160e-01,2.78313
-8.120e-01,2.79469
-8.080e-01,2.80625
-8.040e-01,2.815
-8.000e-01,2.82375
-7.960e-01,2.83813
-7.920e-01,2.8475
-7.880e-01,2.85906
-7.840e-01,2.86781
-7.800e-01,2.87781
-7.760e-01,2.89031
-7.720e-01,2.89906
-7.680e-01,2.91125
-7.640e-01,2.92219
-7.600e-01,2.93406
-7.560e-01,2.94406
